Unnamed: 0,item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width,valid_link
1,368814,NORDVIKEN,Bar furniture,995.0,No old price,False,https://www.ikea.com/sa/en/p/nordviken-bar-table-black-00368814/,No,"        Bar table,          140x80 cm",Francis Cayouette,,105.0,80.0,True
2,9333523,NORDVIKEN / NORDVIKEN,Bar furniture,2095.0,No old price,False,https://www.ikea.com/sa/en/p/nordviken-nordviken-bar-table-and-4-bar-stools-black-black-s09333523/,No,        Bar table and 4 bar stools,Francis Cayouette,,,,True
4,30180504,NORBERG,Bar furniture,225.0,No old price,True,https://www.ikea.com/sa/en/p/norberg-wall-mounted-drop-leaf-table-white-30180504/,No,"        Wall-mounted drop-leaf table,          74x60 cm",Marcus Arvonen,60.0,43.0,74.0,True
5,10122647,INGOLF,Bar furniture,345.0,No old price,True,https://www.ikea.com/sa/en/p/ingolf-bar-stool-with-backrest-white-10122647/,No,"        Bar stool with backrest,          63 cm",Carina Bengs,45.0,91.0,40.0,True
6,70404875,FRANKLIN,Bar furniture,129.0,No old price,True,https://www.ikea.com/sa/en/p/franklin-bar-stool-with-backrest-foldable-white-white-70404875/,No,"        Bar stool with backrest, foldable,          63 cm",K Hagberg/M Hagberg,44.0,95.0,50.0,True
7,60155602,DALFRED,Bar furniture,195.0,No old price,True,https://www.ikea.com/sa/en/p/dalfred-bar-stool-black-60155602/,No,"        Bar stool,          63-74 cm",Sarah Fager,50.0,,50.0,True
8,50406465,FRANKLIN,Bar furniture,129.0,No old price,True,https://www.ikea.com/sa/en/p/franklin-bar-stool-with-backrest-foldable-black-black-50406465/,No,"        Bar stool with backrest, foldable,          63 cm",K Hagberg/M Hagberg,44.0,95.0,50.0,True
9,69304221,EKEDALEN / EKEDALEN,Bar furniture,2176.0,"SR 2,375",True,https://www.ikea.com/sa/en/p/ekedalen-ekedalen-bar-table-and-4-bar-stools-dark-brown-orrsta-light-grey-s69304221/,No,        Bar table and 4 bar stools,Ehlén Johansson,,,,True
10,90404879,FRANKLIN,Bar furniture,149.0,No old price,True,https://www.ikea.com/sa/en/p/franklin-bar-stool-with-backrest-foldable-white-white-90404879/,No,"        Bar stool with backrest, foldable,          74 cm",K Hagberg/M Hagberg,44.0,103.0,52.0,True
11,121766,INGOLF,Bar furniture,395.0,No old price,True,https://www.ikea.com/sa/en/p/ingolf-bar-stool-with-backrest-white-00121766/,No,"        Bar stool with backrest,          74 cm",Carina Bengs,45.0,102.0,40.0,True
12,397736,NORRARYD,Bar furniture,395.0,No old price,True,https://www.ikea.com/sa/en/p/norraryd-bar-stool-with-backrest-black-00397736/,No,"        Bar stool with backrest,          74 cm",Nike Karlsson,47.0,103.0,46.0,True
15,29304826,TOMMARYD,Bar furniture,695.0,No old price,True,https://www.ikea.com/sa/en/p/tommaryd-table-anthracite-s29304826/,No,"        Table,          130x70/105 cm",Maja Ganszyniec,,105.0,70.0,True
18,70246089,JANINGE,Bar furniture,595.0,No old price,True,https://www.ikea.com/sa/en/p/janinge-bar-stool-white-70246089/,No,"        Bar stool,          76 cm",John/Jonas/Petrus/Paul/Caroline,36.0,84.0,38.0,True
19,60406785,FRANKLIN,Bar furniture,149.0,No old price,True,https://www.ikea.com/sa/en/p/franklin-bar-stool-with-backrest-foldable-black-black-60406785/,No,"        Bar stool with backrest, foldable,          74 cm",K Hagberg/M Hagberg,44.0,103.0,52.0,True
20,340759,EKEDALEN,Bar furniture,995.0,No old price,True,https://www.ikea.com/sa/en/p/ekedalen-bar-table-white-00340759/,No,"        Bar table,          120x80 cm",Ehlén Johansson,,105.0,80.0,True
21,30352246,RÅSKOG,Bar furniture,175.0,No old price,True,https://www.ikea.com/sa/en/p/raskog-bar-stool-black-30352246/,No,"        Bar stool,          63 cm",Nike Karlsson,44.0,63.0,44.0,True
23,90400517,EKEDALEN,Bar furniture,796.0,SR 995,True,https://www.ikea.com/sa/en/p/ekedalen-bar-table-dark-brown-90400517/,No,"        Bar table,          120x80 cm",Ehlén Johansson,,105.0,80.0,True
24,400545,EKEDALEN,Bar furniture,345.0,No old price,True,https://www.ikea.com/sa/en/p/ekedalen-bar-stool-with-backrest-white-orrsta-light-grey-00400545/,No,"        Bar stool with backrest,          75 cm",Ehlén Johansson,51.0,114.0,43.0,True
25,10400540,EKEDALEN,Bar furniture,345.0,No old price,True,https://www.ikea.com/sa/en/p/ekedalen-bar-stool-with-backrest-dark-brown-orrsta-light-grey-10400540/,No,"        Bar stool with backrest,          75 cm",Ehlén Johansson,52.0,114.0,43.0,True
28,29297227,STENSELE / NORRARYD,Bar furniture,1340.0,No old price,True,https://www.ikea.com/sa/en/p/stensele-norraryd-bar-table-and-2-bar-stools-anthracite-anthracite-black-s29297227/,No,        Bar table and 2 bar stools,Nike Karlsson/Maja Ganszyniec,,,,True
29,99323925,STENSELE,Bar furniture,550.0,No old price,True,https://www.ikea.com/sa/en/p/stensele-bar-table-anthracite-anthracite-s99323925/,No,"        Bar table,          70x70 cm",Maja Ganszyniec,,104.0,70.0,True
33,60400745,YNGVAR,Bar furniture,475.0,No old price,True,https://www.ikea.com/sa/en/p/yngvar-bar-stool-anthracite-60400745/,No,"        Bar stool,          75 cm",IKEA of Sweden,40.0,,40.0,True
36,80369112,NORDVIKEN,Bar furniture,275.0,No old price,False,https://www.ikea.com/sa/en/p/nordviken-bar-stool-with-backrest-black-80369112/,No,"        Bar stool with backrest,          75 cm",Francis Cayouette,47.0,101.0,40.0,True
38,29304223,EKEDALEN / EKEDALEN,Bar furniture,2375.0,No old price,True,https://www.ikea.com/sa/en/p/ekedalen-ekedalen-bar-table-and-4-bar-stools-white-orrsta-light-grey-s29304223/,No,"        Bar table and 4 bar stools,          120 cm",Ehlén Johansson,,,,True
43,9288224,STENSELE,Bar furniture,550.0,No old price,True,https://www.ikea.com/sa/en/p/stensele-bar-table-anthracite-anthracite-s09288224/,No,"        Bar table,          70 cm",Maja Ganszyniec,,105.0,,True
44,30135658,GLENN,Bar furniture,445.0,No old price,True,https://www.ikea.com/sa/en/p/glenn-bar-stool-white-chrome-plated-30135658/,Yes,"        Bar stool,          77 cm",Marcus Arvonen,52.0,100.0,50.0,True
47,29123958,MINNEN,Beds,395.0,SR 445,True,https://www.ikea.com/sa/en/p/minnen-ext-bed-frame-with-slatted-bed-base-white-s29123958/,No,"        Ext bed frame with slatted bed base,          80x200 cm",IKEA of Sweden/Tina Christensen,,,85.0,True
48,49278341,BRIMNES,Beds,895.0,SR 925,True,https://www.ikea.com/sa/en/p/brimnes-bed-frame-w-storage-and-headboard-white-luroey-s49278341/,No,"        Bed frame w storage and headboard,          90x200 cm",IKEA of Sweden/K Hagberg/M Hagberg,54.0,110.0,96.0,True
49,50461230,SMÅGÖRA,Beds,595.0,No old price,True,https://www.ikea.com/sa/en/p/smagoera-cot-white-50461230/,No,"        Cot,          60x120 cm",IKEA of Sweden,,79.0,66.0,True
50,89326463,PLATSA,Beds,2111.0,"SR 2,205",True,https://www.ikea.com/sa/en/p/platsa-bed-frame-with-4-drawers-white-fonnes-s89326463/,No,"        Bed frame with 4 drawers,          140x244x163 cm",Ola Wihlborg/IKEA of Sweden,40.0,43.0,140.0,True
52,69326609,SLÄKT,Beds,540.0,No old price,False,https://www.ikea.com/sa/en/p/slaekt-ext-bed-frame-with-slatted-bed-base-white-birch-s69326609/,No,"        Ext bed frame with slatted bed base,          80x200 cm",IKEA of Sweden/Ebba Strandmark,,,91.0,True
53,59099136,BRIMNES,Beds,795.0,No old price,True,https://www.ikea.com/sa/en/p/brimnes-bed-frame-w-storage-and-headboard-white-s59099136/,Yes,"        Bed frame w storage and headboard,          140x200 cm",K Hagberg/M Hagberg/IKEA of Sweden,,111.0,146.0,True
54,40395245,NEIDEN,Beds,99.0,No old price,True,https://www.ikea.com/sa/en/p/neiden-bed-frame-pine-40395245/,No,"        Bed frame,          90x200 cm",Jon Karlsson,,,94.0,True
55,69277307,LEIRVIK,Beds,1195.0,No old price,True,https://www.ikea.com/sa/en/p/leirvik-bed-frame-white-loenset-s69277307/,Yes,"        Bed frame,          180x200 cm",IKEA of Sweden/Carina Bengs,,,188.0,True
56,70395239,NEIDEN,Beds,199.0,No old price,True,https://www.ikea.com/sa/en/p/neiden-bed-frame-pine-70395239/,No,"        Bed frame,          140x200 cm",Jon Karlsson,,,144.0,True
57,89931560,HEMNES,Beds,675.0,SR 895,True,https://www.ikea.com/sa/en/p/hemnes-bed-frame-white-stain-s89931560/,Yes,"        Bed frame,          140x200 cm",IKEA of Sweden/Carina Bengs,,,154.0,True
58,30446373,SLATTUM,Beds,595.0,No old price,True,https://www.ikea.com/sa/en/p/slattum-upholstered-bed-frame-knisa-light-grey-30446373/,Yes,"        Upholstered bed frame,          140x200 cm",David Wahl,,,144.0,True
59,59248612,NEIDEN,Beds,199.0,No old price,True,https://www.ikea.com/sa/en/p/neiden-bed-frame-pine-birch-luroey-s59248612/,No,"        Bed frame,          90x200 cm",Jon Karlsson/IKEA of Sweden,,,94.0,True
60,19254209,SAGSTUA,Beds,545.0,No old price,True,https://www.ikea.com/sa/en/p/sagstua-bed-frame-white-s19254209/,Yes,"        Bed frame,          140x200 cm",IKEA of Sweden/Paulin Machado,,140.0,148.0,True
61,20400691,BRIMNES,Beds,575.0,No old price,True,https://www.ikea.com/sa/en/p/brimnes-bed-frame-with-storage-white-20400691/,No,"        Bed frame with storage,          90x200 cm",K Hagberg/M Hagberg,54.0,47.0,96.0,True
62,39019701,ASKVOLL,Beds,445.0,No old price,True,https://www.ikea.com/sa/en/p/askvoll-bed-frame-white-s39019701/,Yes,"        Bed frame,          140x200 cm",IKEA of Sweden/K Hagberg/M Hagberg,,,147.0,True
64,29931596,MALM,Beds,495.0,No old price,True,https://www.ikea.com/sa/en/p/malm-bed-frame-high-white-s29931596/,Yes,"        Bed frame, high,          140x200 cm",IKEA of Sweden/Eva Lilja Löwenhielm,,,156.0,True
65,29179554,RAMSTA,Beds,445.0,No old price,True,https://www.ikea.com/sa/en/p/ramsta-day-bed-frame-with-slatted-bed-base-white-s29179554/,No,"        Day-bed frame with slatted bed base,          90x200 cm",IKEA of Sweden,,80.0,97.0,True
66,9241043,SONGESAND,Beds,395.0,No old price,True,https://www.ikea.com/sa/en/p/songesand-bed-frame-brown-s09241043/,Yes,"        Bed frame,          140x200 cm",IKEA of Sweden,,,153.0,True
67,19175957,MALM,Beds,920.0,No old price,True,https://www.ikea.com/sa/en/p/malm-bed-frame-high-w-2-storage-boxes-white-s19175957/,Yes,"        Bed frame, high, w 2 storage boxes,          180x200 cm",IKEA of Sweden/Eva Lilja Löwenhielm,59.0,15.0,196.0,True
68,19185433,SNIGLAR,Beds,195.0,No old price,True,https://www.ikea.com/sa/en/p/sniglar-bed-frame-with-slatted-bed-base-beech-s19185433/,No,"        Bed frame with slatted bed base,          70x160 cm",IKEA of Sweden,,,77.0,True
70,79902935,BRIMNES,Beds,575.0,No old price,True,https://www.ikea.com/sa/en/p/brimnes-bed-frame-with-storage-white-s79902935/,Yes,"        Bed frame with storage,          140x200 cm",K Hagberg/M Hagberg/IKEA of Sweden,54.0,20.0,146.0,True
71,90349326,HEMNES,Beds,1495.0,No old price,True,https://www.ikea.com/sa/en/p/hemnes-day-bed-frame-with-3-drawers-white-90349326/,No,"        Day-bed frame with 3 drawers,          80x200 cm",Carina Bengs,70.0,18.0,89.0,True
72,99157983,NESTTUN,Beds,595.0,No old price,True,https://www.ikea.com/sa/en/p/nesttun-bed-frame-white-s99157983/,Yes,"        Bed frame,          140x200 cm",IKEA of Sweden/David Wahl,,95.0,146.0,True
73,69057522,TYSSEDAL,Beds,1395.0,No old price,True,https://www.ikea.com/sa/en/p/tyssedal-bed-frame-white-s69057522/,Yes,"        Bed frame,          140x200 cm",Ebba Strandmark/IKEA of Sweden,,,147.0,True
