Category,Name,Image Path
Bar-furniture,Bar-stool,database/images\Bar-furniture---------Bar-stool----------63-74-cm.jpg
Bar-furniture,Bar-stool,database/images\Bar-furniture---------Bar-stool----------75-cm.jpg
Bar-furniture,Bar-stool,database/images\Bar-furniture---------Bar-stool----------76-cm.jpg
Bar-furniture,Bar-stool,database/images\Bar-furniture---------Bar-stool----------77-cm.jpg
Bar-furniture,Bar-stool-with-backrest,database/images\Bar-furniture---------Bar-stool-with-backrest----------63-cm.jpg
Bar-furniture,Bar-stool-with-backrest,database/images\Bar-furniture---------Bar-stool-with-backrest----------74-cm.jpg
Bar-furniture,Bar-stool-with-backrest,database/images\Bar-furniture---------Bar-stool-with-backrest----------75-cm.jpg
Bar-furniture,Bar-stool-with-backrest-foldable,database/images\Bar-furniture---------Bar-stool-with-backrest-foldable----------63-cm.jpg
Bar-furniture,Bar-stool-with-backrest-foldable,database/images\Bar-furniture---------Bar-stool-with-backrest-foldable----------74-cm.jpg
Bar-furniture,Bar-table,database/images\Bar-furniture---------Bar-table----------120x80-cm.jpg
Bar-furniture,Bar-table,database/images\Bar-furniture---------Bar-table----------140x80-cm.jpg
Bar-furniture,Bar-table,database/images\Bar-furniture---------Bar-table----------70-cm.jpg
Bar-furniture,Bar-table,database/images\Bar-furniture---------Bar-table----------70x70-cm.jpg
Bar-furniture,Bar-table-and-2-bar-stools,database/images\Bar-furniture---------Bar-table-and-2-bar-stools.jpg
Bar-furniture,Bar-table-and-4-bar-stools,database/images\Bar-furniture---------Bar-table-and-4-bar-stools----------120-cm.jpg
Bar-furniture,Bar-table-and-4-bar-stools,database/images\Bar-furniture---------Bar-table-and-4-bar-stools.jpg
Bar-furniture,Table,database/images\Bar-furniture---------Table----------130x70105-cm.jpg
Bar-furniture,Wall-mounted-drop-leaf-table,database/images\Bar-furniture---------Wall-mounted-drop-leaf-table----------74x60-cm.jpg
Beds,3-seat-sofa-bed,database/images\Beds---------3-seat-sofa-bed.jpg
Beds,Bed-canopy,database/images\Beds---------Bed-canopy.jpg
Beds,Bed-frame,database/images\Beds---------Bed-frame----------140x200-cm.jpg
